λ:45Å, P0:99.0%, intensity:1.0109209864675453e+35
λ:46Å, P0:99.0%, intensity:1.056350028328556e+35
λ:47Å, P0:99.0%, intensity:1.1027775106700286e+35
λ:48Å, P0:99.0%, intensity:1.1502034334919627e+35
λ:49Å, P0:99.0%, intensity:1.1986277967943588e+35
λ:50Å, P0:99.0%, intensity:1.2480506005772164e+35
λ:51Å, P0:99.0%, intensity:1.298471844840536e+35
λ:52Å, P0:99.0%, intensity:1.3498915295843175e+35
λ:53Å, P0:99.0%, intensity:1.4023096548085604e+35
λ:54Å, P0:99.0%, intensity:1.4557262205132654e+35
λ:55Å, P0:99.0%, intensity:1.5101412266984318e+35
λ:56Å, P0:99.0%, intensity:1.5655546733640602e+35
λ:57Å, P0:99.0%, intensity:1.6219665605101507e+35
λ:58Å, P0:99.0%, intensity:1.6793768881367025e+35
λ:59Å, P0:99.0%, intensity:1.737785656243716e+35
λ:60Å, P0:99.0%, intensity:1.7971928648311917e+35
λ:61Å, P0:99.0%, intensity:1.857598513899129e+35
λ:62Å, P0:99.0%, intensity:1.919002603447528e+35
λ:63Å, P0:99.0%, intensity:1.9814051334763888e+35
λ:64Å, P0:99.0%, intensity:2.0448061039857116e+35
λ:65Å, P0:99.0%, intensity:2.1092055149754957e+35
λ:66Å, P0:99.0%, intensity:2.174603366445742e+35
λ:67Å, P0:99.0%, intensity:2.2409996583964496e+35
λ:68Å, P0:99.0%, intensity:2.3083943908276195e+35
λ:69Å, P0:99.0%, intensity:2.3767875637392506e+35
λ:70Å, P0:99.0%, intensity:2.446179177131344e+35
λ:71Å, P0:99.0%, intensity:2.5165692310038992e+35
λ:72Å, P0:99.0%, intensity:2.587957725356916e+35
λ:73Å, P0:99.0%, intensity:2.6603446601903945e+35
λ:74Å, P0:99.0%, intensity:2.733730035504335e+35
λ:75Å, P0:99.0%, intensity:2.8081138512987368e+35
λ:76Å, P0:99.0%, intensity:2.883496107573601e+35
λ:77Å, P0:99.0%, intensity:2.9598768043289265e+35
λ:78Å, P0:99.0%, intensity:3.0372559415647136e+35
λ:79Å, P0:99.0%, intensity:3.1156335192809628e+35
λ:80Å, P0:99.0%, intensity:3.195009537477674e+35
λ:81Å, P0:99.0%, intensity:3.275383996154847e+35
λ:82Å, P0:99.0%, intensity:3.356756895312482e+35
λ:83Å, P0:99.0%, intensity:3.4391282349505775e+35
λ:84Å, P0:99.0%, intensity:3.522498015069135e+35
λ:85Å, P0:99.0%, intensity:3.606866235668155e+35
λ:86Å, P0:99.0%, intensity:3.692232896747638e+35
λ:87Å, P0:99.0%, intensity:3.778597998307581e+35
λ:88Å, P0:99.0%, intensity:3.865961540347986e+35
λ:89Å, P0:99.0%, intensity:3.9543235228688525e+35
λ:90Å, P0:99.0%, intensity:4.043683945870181e+35
λ:91Å, P0:99.0%, intensity:4.1340428093519716e+35
λ:92Å, P0:99.0%, intensity:4.225400113314224e+35
λ:93Å, P0:99.0%, intensity:4.317755857756938e+35
λ:94Å, P0:99.0%, intensity:4.4111100426801146e+35
λ:95Å, P0:99.0%, intensity:4.505462668083751e+35
λ:96Å, P0:99.0%, intensity:4.600813733967851e+35
λ:97Å, P0:99.0%, intensity:4.697163240332412e+35
λ:98Å, P0:99.0%, intensity:4.794511187177435e+35
λ:99Å, P0:99.0%, intensity:4.892857574502919e+35
λ:100Å, P0:99.0%, intensity:4.992202402308866e+35
λ:101Å, P0:99.0%, intensity:5.092545670595275e+35
λ:102Å, P0:99.0%, intensity:5.193887379362144e+35
λ:103Å, P0:99.0%, intensity:5.296227528609476e+35
λ:104Å, P0:99.0%, intensity:5.39956611833727e+35
λ:105Å, P0:99.0%, intensity:5.5039031485455244e+35
λ:106Å, P0:99.0%, intensity:5.609238619234242e+35
λ:107Å, P0:99.0%, intensity:5.7155725304034194e+35
λ:108Å, P0:99.0%, intensity:5.8229048820530615e+35
λ:109Å, P0:99.0%, intensity:5.9312356741831626e+35
λ:110Å, P0:99.0%, intensity:6.040564906793727e+35
λ:111Å, P0:99.0%, intensity:6.150892579884754e+35
λ:112Å, P0:99.0%, intensity:6.262218693456241e+35
λ:113Å, P0:99.0%, intensity:6.37454324750819e+35
λ:114Å, P0:99.0%, intensity:6.487866242040603e+35
λ:115Å, P0:99.0%, intensity:6.602187677053475e+35
λ:116Å, P0:99.0%, intensity:6.71750755254681e+35
λ:117Å, P0:99.0%, intensity:6.833825868520606e+35
λ:118Å, P0:99.0%, intensity:6.951142624974864e+35
λ:119Å, P0:99.0%, intensity:7.069457821909585e+35
λ:120Å, P0:99.0%, intensity:7.188771459324767e+35
λ:121Å, P0:99.0%, intensity:7.309083537220411e+35
λ:122Å, P0:99.0%, intensity:7.430394055596515e+35
λ:123Å, P0:99.0%, intensity:7.552703014453082e+35
λ:124Å, P0:99.0%, intensity:7.676010413790112e+35
λ:125Å, P0:99.0%, intensity:7.800316253607601e+35
λ:126Å, P0:99.0%, intensity:7.925620533905555e+35
